Query,Top_5_Ids,Citation_Cnts
GABA AND GABRA1[tiab],"[24136292, 24361861, 20438718, 27521439, 25194483]","[48, 65, 40, 41, 48]"
GABA AND GABRA2[tiab],"[18005236, 24136292, 18482426, 29961870, 22501025]","[34, 48, 27, 27, 30]"
GABA AND GABRA3[tiab],"[18334916, 18821008, 23169495, 18550761, 29078789]","[34, 203, 25, 51, 49]"
GABA AND GABRA4[tiab],"[18334916, 18482426, 16901909, 16080114, 25124326]","[34, 27, 67, 140, 27]"
GABA AND GABRA5[tiab],"[22383672, 19809285, 29961870, 16452257, 23886513]","[26, 31, 27, 110, 54]"
GABA AND Ivermectin NOT covid-19,"[12421359, 23133688, 7957605, 21575687, 11082440]","[28, 34, 33, 29, 44]"
