Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA1[tiab],pubmed,33901490,0
GABA AND GABRA1[tiab],pubmed,25132554,16
GABA AND GABRA1[tiab],pubmed,32579917,7
GABA AND GABRA1[tiab],pubmed,15955415,6
GABA AND GABRA1[tiab],pubmed,35269865,0
GABA AND GABRA1[tiab],pubmed,8739126,1
GABA AND GABRA1[tiab],pubmed,20888367,16
GABA AND GABRA1[tiab],pubmed,9247395,8
GABA AND GABRA1[tiab],pubmed,34165769,1
GABA AND GABRA1[tiab],pubmed,27055390,3
GABA AND GABRA1[tiab],pubmed,26469128,8
GABA AND GABRA1[tiab],pubmed,20356767,14
GABA AND GABRA1[tiab],pubmed,27767084,6
GABA AND GABRA1[tiab],pubmed,26902358,1
GABA AND GABRA1[tiab],pubmed,34411917,1
GABA AND GABRA1[tiab],pubmed,26096050,11
GABA AND GABRA1[tiab],pubmed,26357588,9
GABA AND GABRA1[tiab],pubmed,19356697,38
GABA AND GABRA1[tiab],pubmed,33407346,1
GABA AND GABRA1[tiab],pubmed,25348603,13
GABA AND GABRA1[tiab],pubmed,16256272,2
GABA AND GABRA1[tiab],pubmed,32102148,0
GABA AND GABRA1[tiab],pubmed,35095537,0
GABA AND GABRA1[tiab],pubmed,35002696,0
GABA AND GABRA1[tiab],pubmed,31568673,2
GABA AND GABRA1[tiab],pubmed,31368118,6
GABA AND GABRA1[tiab],pubmed,30664068,15
GABA AND GABRA1[tiab],pubmed,30841457,3
GABA AND GABRA1[tiab],pubmed,33342018,1
GABA AND GABRA1[tiab],pubmed,33296199,2
GABA AND GABRA1[tiab],pubmed,32109856,1
GABA AND GABRA1[tiab],pubmed,29422393,8
GABA AND GABRA1[tiab],pubmed,29478594,11
GABA AND GABRA1[tiab],pubmed,29032150,11
GABA AND GABRA1[tiab],pubmed,28880996,36
GABA AND GABRA1[tiab],pubmed,30949046,8
GABA AND GABRA1[tiab],pubmed,30347267,6
GABA AND GABRA1[tiab],pubmed,27855134,4
GABA AND GABRA1[tiab],pubmed,27613244,5
GABA AND GABRA1[tiab],pubmed,27573707,2
GABA AND GABRA1[tiab],pubmed,27245092,2
GABA AND GABRA1[tiab],pubmed,16214289,1
GABA AND GABRA1[tiab],pubmed,26918889,30
GABA AND GABRA1[tiab],pubmed,15993854,5
GABA AND GABRA1[tiab],pubmed,26060908,13
GABA AND GABRA1[tiab],pubmed,26189305,15
GABA AND GABRA1[tiab],pubmed,20308251,100
GABA AND GABRA1[tiab],pubmed,24623842,87
GABA AND GABRA1[tiab],pubmed,23934111,647
GABA AND GABRA1[tiab],pubmed,25588467,4
GABA AND GABRA1[tiab],pubmed,25352779,5
GABA AND GABRA1[tiab],pubmed,22038115,14
GABA AND GABRA1[tiab],pubmed,21704126,1
GABA AND GABRA1[tiab],pubmed,17972043,0
GABA AND GABRA1[tiab],pubmed,17167345,3
GABA AND GABRA1[tiab],pubmed,16839746,12
GABA AND GABRA1[tiab],pubmed,17520076,18
GABA AND GABRA1[tiab],pubmed,15508928,2
GABA AND GABRA1[tiab],pubmed,15238507,26
GABA AND GABRA1[tiab],pubmed,14631097,3
GABA AND GABRA1[tiab],pubmed,8020978,6
GABA AND GABRA1[tiab],pubmed,1330891,4
GABA AND GABRA1[tiab],pubmed,8875185,2
GABA AND GABRA2[tiab],pubmed,32565954,5
GABA AND GABRA2[tiab],pubmed,24613745,14
GABA AND GABRA2[tiab],pubmed,18005236,34
GABA AND GABRA2[tiab],pubmed,24136292,48
GABA AND GABRA2[tiab],pubmed,34174930,1
GABA AND GABRA2[tiab],pubmed,18482426,27
GABA AND GABRA2[tiab],pubmed,29961870,27
GABA AND GABRA2[tiab],pubmed,22555154,15
GABA AND GABRA2[tiab],pubmed,19207358,10
GABA AND GABRA2[tiab],pubmed,19382902,4
GABA AND GABRA2[tiab],pubmed,28643105,14
GABA AND GABRA2[tiab],pubmed,33029895,1
GABA AND GABRA2[tiab],pubmed,26884404,1
GABA AND GABRA2[tiab],pubmed,29124181,8
GABA AND GABRA2[tiab],pubmed,30695556,4
GABA AND GABRA2[tiab],pubmed,31315046,7
GABA AND GABRA2[tiab],pubmed,34530807,0
GABA AND GABRA2[tiab],pubmed,22501025,30
GABA AND GABRA2[tiab],pubmed,23886513,54
GABA AND GABRA2[tiab],pubmed,18821008,203
GABA AND GABRA2[tiab],pubmed,32376074,2
GABA AND GABRA2[tiab],pubmed,19842164,9
GABA AND GABRA2[tiab],pubmed,32620552,1
GABA AND GABRA2[tiab],pubmed,17207817,77
GABA AND GABRA2[tiab],pubmed,33240041,2
GABA AND GABRA2[tiab],pubmed,32446246,2
GABA AND GABRA2[tiab],pubmed,30984232,28
GABA AND GABRA2[tiab],pubmed,31790348,0
GABA AND GABRA2[tiab],pubmed,28587819,4
GABA AND GABRA2[tiab],pubmed,18163449,12
GABA AND GABRA2[tiab],pubmed,34780749,0
GABA AND GABRA2[tiab],pubmed,16080114,140
GABA AND GABRA2[tiab],pubmed,16894595,41
GABA AND GABRA2[tiab],pubmed,25124326,27
GABA AND GABRA2[tiab],pubmed,30087324,22
GABA AND GABRA2[tiab],pubmed,22921455,23
GABA AND GABRA2[tiab],pubmed,15950776,19
GABA AND GABRA2[tiab],pubmed,27581089,8
GABA AND GABRA2[tiab],pubmed,28847377,2
GABA AND GABRA2[tiab],pubmed,34852975,0
GABA AND GABRA2[tiab],pubmed,28361821,9
GABA AND GABRA2[tiab],pubmed,20876231,36
GABA AND GABRA2[tiab],pubmed,19536785,26
GABA AND GABRA2[tiab],pubmed,25797587,15
GABA AND GABRA2[tiab],pubmed,24608543,33
GABA AND GABRA2[tiab],pubmed,25804982,3
GABA AND GABRA2[tiab],pubmed,19477223,15
GABA AND GABRA2[tiab],pubmed,26381154,3
GABA AND GABRA2[tiab],pubmed,18440057,103
GABA AND GABRA2[tiab],pubmed,24236484,6
GABA AND GABRA2[tiab],pubmed,22506031,32
GABA AND GABRA2[tiab],pubmed,18313124,27
GABA AND GABRA2[tiab],pubmed,21118274,34
GABA AND GABRA2[tiab],pubmed,22882391,5
GABA AND GABRA2[tiab],pubmed,32855268,0
GABA AND GABRA2[tiab],pubmed,33178009,0
